postcode,suburb
3802,Endeavour_Hills
3807,Beaconsfield
3978,Clyde;Clyde_North
3803,Hallam
3806,Berwick;Harkaway
3976,Hampton_Park
3156,Lysterfield_South
3804,Narre_Warren_North
3975,Lynbrook;Lyndhurst
3980,Blind_Bight;Tooradin;Warneet
3805,Narre_Warren;Narre_Warren_South
3912,Pearcedale
3177,Doveton;Eumemmerring
3977,Botanic_Ridge;Cannons_Creek;Cranbourne;Cranbourne_East;Cranbourne_North;Cranbourne_South;Cranbourne_West;Devon_Meadows;Junction_Village
